LIB	ANNO_COUNT
1236A	    1413
1236B	    1462
1236C	    1433
1418A	    1301
1418B	    1289
1418C	    1303
1418D	    1312
1418E	    1324
1418F	    1318
1418G	    1442
1418H	    1453
1743A	    1450
1743B	    1443
1743C	    1462
1743D	    1413
1743E	    1403
1743F	    1429
1821A	    1451
1821B	    1453
1821C	    1522
1821D	    1291
1821E	    1285
1821F	    1294
1821G	    1330
1821H	    1346
1821I	    1347
2373B	    1459
2373C	    1399
2373D	    1375
2373E	    1416
2373F	    1427
772A	    1430
772B	    1427
772C	    1413
772D	    1337
772E	    1307
772F	    1317
IexuBAH1	    1149
IexuBAH2	    1149
IexuBAH3	    1167
