LIB	genome	coverage	breadth	nucl_diversity	length	true_scaffolds	detected_scaffolds	coverage_median	coverage_std	coverage_SEM	breadth_minCov	breadth_expected	nucl_diversity_rarefied	conANI_reference	popANI_reference	iRep	iRep_GC_corrected	linked_SNV_count	SNV_distance_mean	r2_mean	d_prime_mean	consensus_divergent_sites	population_divergent_sites	SNS_count	SNV_count	filtered_read_pair_count	reads_unfiltered_pairs	reads_mean_PID	divergent_site_count	reads_unfiltered_reads
1236A	all_scaffolds	232.58407783427057	0.995096758571911	0.0035208810002675	4080362	1187	1120	217	266.7424735360514	0.1359521801357399	0.9908922296600154	1.0	0.0034170332951327	0.999732142790894	0.9998778195186534		False	31646.0	120.60870252164572	0.4330787677057139	0.9377283408056774	1083	494	491	6154	5341472	5386014	0.9917736648558028	6645	11767505
1236B	all_scaffolds	85.8489175715292	0.6942469810276637	0.0045041481024671	4080362	1187	816	88	160.60725876826453	0.0818576310166045	0.6513483362505582	1.0	0.0033458846214443	0.9754159271590832	0.9765751840757756		False	50409.0	104.23638635957865	0.4273463278086401	0.948321857233818	65338	62257	61838	13738	1986784	2586696	0.9012180907228742	75576	5925468
1236C	all_scaffolds	144.46515211150384	0.9932648132690188	0.0035173920609045	4080362	1187	1090	135	165.62610620405263	0.0844156160334595	0.9877721633521732	1.0	0.0034063866149267	0.9997124403419156	0.999864531860816		False	22453.0	100.6387565136062	0.5285485323444626	0.9499994134362914	1159	546	539	7732	3324501	3356922	0.9911740740530824	7369827	8271
1418A	all_scaffolds	252.99819073778968	0.8240614674107566	0.0040483147390379	3662819	431	386	299	256.6635539434185	0.1356638829749284	0.7858490960104771	1.0	0.0033163375730389	0.9852123888670984	0.986150749907154		False	49879.0	81.24242667254757	0.5310077318380542	0.9611692269368336	42565	39864	39506	12328	5548355	6225380	0.9481945572554564	51834	13333332
1418B	all_scaffolds	277.09127205029785	0.7952675248217288	0.0039686916991977	3662819	431	366	336	301.31106109930613	0.1592630815867185	0.7829475057326065	1.0	0.0033547259786405	0.985665990769912	0.9865265822696532		False	49693.0	79.51908719537963	0.6096392605289847	0.9728720278901358	41107	38639	38290	12053	5661736	6334023	0.9459103105305896	50343	13531040
1418C	all_scaffolds	184.71999162393772	0.99871219407784	0.0025601080973614	3662819	431	413	180	163.15844609880145	0.0862401692715537	0.9967770725225572	1.0	0.0024874484625594	0.9998931803603054	0.9999539853859776	1.4062320328040503	False	8768.0	111.36701642335768	0.5840054912113786	0.963223384936572	390	168	178	1920	4054123	4068719	0.9932800453896612	2098	8483044
1418D	all_scaffolds	530.7325018587298	0.9996812423104882	0.0032685265170212	3623442	909	907	495	625.1699642649406	0.3364901344533422	0.9991141020057724	1.0	0.0031611350581963	0.9998585725997672	0.9999624333468132		False	24963.0	137.8995313063334	0.3229637151384157	0.8994957979648603	512	136	154	4529	11320740	11411525	0.9919303674196402	4683	27385146
1418E	all_scaffolds	255.36791812867435	0.9187954436693068	0.0045116717223223	3623442	909	820	270	271.07270322956555	0.1459015876803898	0.9035842163335304	1.0	0.0038120403148241	0.9951913282642326	0.9958944254654354		False	59414.0	81.11325613491769	0.4713525917466781	0.940018380627588	15744	13442	13225	13655	5470481	5736990	0.9580531953742746	26880	12828058
1418F	all_scaffolds	352.2405627025353	0.93135284075197	0.0044971159264769	3623442	909	829	373	378.3895226048778	0.2036635612952968	0.906324152559914	1.0	0.0038535083680447	0.995017376606	0.99584959012038		False	71512.0	82.64326266920237	0.4753626705669132	0.9425734424737644	16363	13630	13394	14690	7537072	7890057	0.9586020712012496	17572520	28084
1418G	all_scaffolds	107.64879047496277	0.7172329317839937	0.0044730858322729	4080362	1187	892	115	128.92123925380974	0.0657080340824983	0.6757459264643676	1.0	0.0031025892538209	0.9744397393380744	0.975795419267048		False	47834.0	93.13663921060332	0.4597481651640105	0.9560702400942735	70477	66739	66285	15331	2644970	3497671	0.8956645133665827	81616	7927919
1418H	all_scaffolds	125.00348988643654	0.7190050784709788	0.0046628611216386	4080362	1187	890	134	151.24252957915908	0.0770846552967568	0.6803658596957819	1.0	0.003380892650208	0.974116569811526	0.9756006453567346		False	57671.0	91.05815747949576	0.443979917790065	0.9526628775765864	71856	67736	67226	16659	3077000	4074928	0.8956960323807688	9219783	83885
1743A	all_scaffolds	130.158804342476	0.9900165790096052	0.001471853055321	4997886	1828	1637	121	140.06691700022515	0.0649522495284245	0.9841230872412856	1.0	0.0012727135240383	0.999397178224817	0.9996372903720316		False	38475.0	103.57408706952566	0.4784207333373161	0.9507753672766208	2965	1784	1765	9456	4086992	4139637	0.9859591062523808	11221	9548760
1743B	all_scaffolds	95.87249949278556	0.9898901255450804	0.001415642734636	4997886	1828	1647	89	104.98369478463442	0.0486833528295377	0.9829928093597972	1.0	0.0011982570299372	0.9994123616953456	0.999646847087435		False	33136.0	92.19649323998068	0.4810760698234407	0.949562636134722	2887	1735	1723	9355	3008787	3048825	0.9861228228917364	11078	7003338
